,Title,Year,Rating,Image Source
55,Scott Pilgrim vs. the World,2010,3.87,https://a.ltrbxd.com/resized/sm/upload/vs/75/02/fx/2B5zjs5E3xerqAyowpw3QcOCyLq-0-1000-0-1500-crop.jpg?v=3aef2095df
56,The Matrix,1999,4.16,https://a.ltrbxd.com/resized/film-poster/5/1/5/1/8/51518-the-matrix-0-1000-0-1500-crop.jpg?v=fc7c366afe
57,Fantastic Mr. Fox,2009,4.27,https://a.ltrbxd.com/resized/film-poster/4/6/3/4/4/46344-fantastic-mr-fox-0-1000-0-1500-crop.jpg?v=3a2a858065
58,Taxi Driver,1976,4.17,https://a.ltrbxd.com/resized/film-poster/5/1/9/4/7/51947-taxi-driver-0-1000-0-1500-crop.jpg?v=3ae07cca2d
59,Dead Poets Society,1989,4.26,https://a.ltrbxd.com/resized/film-poster/5/1/8/4/6/51846-dead-poets-society-0-1000-0-1500-crop.jpg?v=9273e8acf7
60,Jojo Rabbit,2019,4.03,https://a.ltrbxd.com/resized/film-poster/4/4/4/6/0/0/444600-jojo-rabbit-0-1000-0-1500-crop.jpg?v=a5ad083635
61,Guardians of the Galaxy,2014,3.78,https://a.ltrbxd.com/resized/film-poster/9/3/6/7/6/93676-guardians-of-the-galaxy-0-1000-0-1500-crop.jpg?v=3cc8cb967f
62,Black Panther,2018,3.65,https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/3/209383-black-panther-0-1000-0-1500-crop.jpg?v=d6e7e2c7a4
63,Arrival,2016,4.12,https://a.ltrbxd.com/resized/sm/upload/3u/dy/qd/qd/4Iu5f2nv7huqvuYkmZvSPOtbFjs-0-1000-0-1500-crop.jpg?v=0fc28fdf2c
64,Blade Runner 2049,2017,4.12,https://a.ltrbxd.com/resized/film-poster/2/6/5/4/3/9/265439-blade-runner-2049-0-1000-0-1500-crop.jpg?v=86735e0bb8
65,The Perks of Being a Wallflower,2012,3.92,https://a.ltrbxd.com/resized/sm/upload/zz/o0/mz/sv/fyYncUQh5gUTvxmQ4bigm2DVCv7-0-1000-0-1500-crop.jpg?v=1188bcf4af
66,The Shawshank Redemption,1994,4.55,https://a.ltrbxd.com/resized/sm/upload/7l/hn/46/uz/zGINvGjdlO6TJRu9wESQvWlOKVT-0-1000-0-1500-crop.jpg?v=8736d1c395
67,The Lord of the Rings: The Fellowship of the Ring,2001,4.37,https://a.ltrbxd.com/resized/sm/upload/3t/vq/0u/m6/1tX9ZlgVvWjAQhMs1vAfsYpi7VK-0-1000-0-1500-crop.jpg?v=30bbb824e1
68,Past Lives,2023,4.18,https://a.ltrbxd.com/resized/film-poster/5/9/1/0/5/3/591053-past-lives-0-1000-0-1500-crop.jpg?v=c600b7854e
69,Coco,2017,4.12,https://a.ltrbxd.com/resized/sm/upload/3p/mh/wq/v9/6Ryitt95xrO8KXuqRGm1fUuNwqF-0-1000-0-1500-crop.jpg?v=2a90bd6512
70,Good Will Hunting,1997,4.30,https://a.ltrbxd.com/resized/film-poster/5/1/6/2/1/51621-good-will-hunting-0-1000-0-1500-crop.jpg?v=acb4766abd
71,Don't Look Up,2021,3.01,https://a.ltrbxd.com/resized/film-poster/5/7/2/2/5/5/572255-don-t-look-up-0-1000-0-1500-crop.jpg?v=a58cc4aba2
72,Titanic,1997,3.81,https://a.ltrbxd.com/resized/film-poster/5/1/5/2/4/51524-titanic-0-1000-0-1500-crop.jpg?v=7517ea94ce
73,Drive,2011,3.94,https://a.ltrbxd.com/resized/sm/upload/6d/6l/r3/e9/nu7XIa67cXc2t7frXCE5voXUJcN.jpg-0-1000-0-1500-crop.jpg?v=58a476ae28
74,Donnie Darko,2001,3.97,https://a.ltrbxd.com/resized/sm/upload/ye/jq/f3/22/nmb4QhCRmdfNP6rgb81yUFgI83l-0-1000-0-1500-crop.jpg?v=caa3999c6f
75,Avatar: The Way of Water,2022,3.61,https://a.ltrbxd.com/resized/film-poster/6/3/0/5/8/63058-avatar-the-way-of-water-0-1000-0-1500-crop.jpg?v=cc3269e69d
76,Up,2009,4.09,https://a.ltrbxd.com/resized/film-poster/4/3/3/0/2/43302-up-0-1000-0-1500-crop.jpg?v=eac6a19a4c
77,Star Wars,1977,4.18,https://a.ltrbxd.com/resized/film-poster/2/7/0/6/2706-star-wars-0-1000-0-1500-crop.jpg?v=f1f1271bf5
78,Guardians of the Galaxy Vol. 3,2023,3.96,https://a.ltrbxd.com/resized/film-poster/3/7/9/7/1/1/379711-guardians-of-the-galaxy-volume-3-0-1000-0-1500-crop.jpg?v=bd023e472c
79,Mad Max: Fury Road,2015,4.18,https://a.ltrbxd.com/resized/film-poster/6/2/7/8/0/62780-mad-max-fury-road-0-1000-0-1500-crop.jpg?v=37c5424b1f
80,Anatomy of a Fall,2023,4.15,https://a.ltrbxd.com/resized/film-poster/8/2/2/0/9/3/822093-anatomy-of-a-fall-0-1000-0-1500-crop.jpg?v=4efab8aedc
81,(500) Days of Summer,2009,3.66,https://a.ltrbxd.com/resized/film-poster/3/9/3/5/0/39350--500-days-of-summer-0-1000-0-1500-crop.jpg?v=05995ae0b3
82,Inside Out,2015,3.82,https://a.ltrbxd.com/resized/film-poster/1/1/3/2/8/4/113284-inside-out-0-1000-0-1500-crop.jpg?v=de03b9b6ef
83,Spider-Man: Homecoming,2017,3.47,https://a.ltrbxd.com/resized/film-poster/2/4/2/7/1/0/242710-spider-man-homecoming-0-1000-0-1500-crop.jpg?v=61e8c57229
84,Us,2019,3.65,https://a.ltrbxd.com/resized/film-poster/3/9/0/5/2/0/390520-us-0-1000-0-1500-crop.jpg?v=968884c876
85,Top Gun: Maverick,2022,3.99,https://a.ltrbxd.com/resized/film-poster/2/9/3/4/6/5/293465-top-gun-maverick-0-1000-0-1500-crop.jpg?v=9f8af0f61b
86,Soul,2020,3.94,https://a.ltrbxd.com/resized/film-poster/4/3/8/5/1/1/438511-soul-0-1000-0-1500-crop.jpg?v=8d0b74f9a8
87,Mean Girls,2004,3.83,https://a.ltrbxd.com/resized/film-poster/4/6/0/4/9/46049-mean-girls-0-1000-0-1500-crop.jpg?v=e6378abb7b
88,Back to the Future,1985,4.20,https://a.ltrbxd.com/resized/film-poster/5/1/9/4/5/51945-back-to-the-future-0-1000-0-1500-crop.jpg?v=6662417358
89,GoodFellas,1990,4.48,https://a.ltrbxd.com/resized/film-poster/5/1/3/8/3/51383-goodfellas-0-1000-0-1500-crop.jpg?v=c6c265f228
90,The Lighthouse,2019,4.04,https://a.ltrbxd.com/resized/film-poster/4/3/3/8/6/3/433863-the-lighthouse-0-1000-0-1500-crop.jpg?v=ee97005537
91,Deadpool,2016,3.67,https://a.ltrbxd.com/resized/film-poster/2/2/0/5/7/5/220575-deadpool-0-1000-0-1500-crop.jpg?v=2f726ea9b3
92,Little Miss Sunshine,2006,4.17,https://a.ltrbxd.com/resized/sm/upload/h6/xm/om/q7/dOeM4R55TsAFBXCPNIDDMiJkePr-0-1000-0-1500-crop.jpg?v=09383296c6
93,Howl's Moving Castle,2004,4.32,https://a.ltrbxd.com/resized/film-poster/4/9/0/6/2/49062-howl-s-moving-castle-0-1000-0-1500-crop.jpg?v=fde81bda52
94,The Hunger Games,2012,3.65,https://a.ltrbxd.com/resized/sm/upload/x3/tw/wu/z4/vAkjFEm76Lu5hSevquxPgQ91OtI-0-1000-0-1500-crop.jpg?v=f4bfaf16df
95,WALL·E,2008,4.19,https://a.ltrbxd.com/resized/film-poster/4/5/9/9/4/45994-walle-0-1000-0-1500-crop.jpg?v=ad27f0ceac
96,Harry Potter and the Prisoner of Azkaban,2004,4.09,https://a.ltrbxd.com/resized/sm/upload/a3/0q/kf/h8/jUFjMoLh8T2CWzHUSjKCojI5SHu-0-1000-0-1500-crop.jpg?v=6285ee260e
97,Aftersun,2022,4.24,https://a.ltrbxd.com/resized/film-poster/8/6/8/5/5/8/868558-aftersun-0-1000-0-1500-crop.jpg?v=5ce2118fca
98,Thor: Ragnarok,2017,3.73,https://a.ltrbxd.com/resized/film-poster/2/0/9/3/8/2/209382-thor-ragnarok-0-1000-0-1500-crop.jpg?v=0369e00db5
99,1917,2019,4.11,https://a.ltrbxd.com/resized/film-poster/4/6/0/1/5/5/460155-1917-0-1000-0-1500-crop.jpg?v=9eb1d95df5
100,Bottoms,2023,3.82,https://a.ltrbxd.com/resized/film-poster/7/3/1/2/2/2/731222-bottoms-0-1000-0-1500-crop.jpg?v=11b87368c8
101,Avatar,2009,3.58,https://a.ltrbxd.com/resized/sm/upload/1p/mh/li/l2/b7nR3eKeTOwHPKmDLUWunIGasKo-0-1000-0-1500-crop.jpg?v=0bb5ec98ec
102,Harry Potter and the Philosopher's Stone,2001,3.76,https://a.ltrbxd.com/resized/sm/upload/5t/cj/6w/6e/harrypotter2-0-1000-0-1500-crop.jpg?v=0053b4ed93
103,Doctor Strange in the Multiverse of Madness,2022,2.96,https://a.ltrbxd.com/resized/film-poster/3/8/5/5/1/1/385511-doctor-strange-in-the-multiverse-of-madness-0-1000-0-1500-crop.jpg?v=009a8981af
